Permission,name
android.permission.READ_CALENDAR,READ_CALENDAR
android.permission.WRITE_CALENDAR,WRITE_CALENDAR
android.permission.WRITE_CONTACTS,WRITE_CONTACTS
android.permission.READ_CONTACTS,READ_CONTACTS
android.permission.CAMERA,CAMERA
android.permission.ACCESS_FINE_LOCATION,ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION,ACCESS_COARSE_LOCATION
android.permission.GET_ACCOUNTS,GET_ACCOUNTS
android.permission.RECORD_AUDIO,RECORD_AUDIO
android.permission.READ_PHONE_STATE,READ_PHONE_STATE
android.permission.READ_PHONE_NUMBERS,READ_PHONE_NUMBERS
android.permission.CALL_PHONE,CALL_PHONE
android.permission.ANSWER_PHONE_CALLS,ANSWER_PHONE_CALLS
android.permission.READ_CALL_LOG,READ_CALL_LOG
android.permission.WRITE_CALL_LOG,WRITE_CALL_LOG
android.permission.PROCESS_OUTGOING_CALLS,PROCESS_OUTGOING_CALLS
android.permission.ADD_VOICEMAIL,ADD_VOICEMAIL
android.permission.USE_SIP,USE_SIP
android.permission.BODY_SENSORS,BODY_SENSORS
android.permission.SEND_SMS,SEND_SMS
android.permission.RECEIVE_SMS,RECEIVE_SMS
android.permission.READ_SMS,READ_SMS
android.permission.RECEIVE_WAP_PUSH,RECEIVE_WAP_PUSH
android.permission.RECEIVE_MMS,RECEIVE_MMS
android.permission.READ_EXTERNAL_STORAGE,READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE,WRITE_EXTERNAL_STORAGE
